#        g/2                        E_0         
  0.00000000000000000        3.0000000000000000 
  0.10000000000000001        3.0825714546406755 
  0.20000000000000001        3.1607283997234923 
  0.29999999999999999        3.2347692819168241 
  0.40000000000000002        3.3049740019153093 
  0.50000000000000000        3.3716035635504782 
  0.59999999999999998        3.4349002927866992 
  0.69999999999999996        3.4950884615509734 
  0.80000000000000004        3.5523751797305532 
  0.90000000000000002        3.6069514473162294 
   1.0000000000000000        3.6589932848435822 
   1.5000000000000000        3.8864402258679820 
   2.0000000000000000        4.0702000407341012 
   2.5000000000000000        4.2213329141216525 
   3.0000000000000000        4.3475890847655334 
   3.5000000000000000        4.4545477561432616 
   4.0000000000000000        4.5463124013622860 
   4.5000000000000000        4.6259532765418800 
   5.0000000000000000        4.6958008934711222 
   6.0000000000000000        4.8128851620589721 
   7.0000000000000000        4.9076971486125185 
   8.0000000000000000        4.9866087379054633 
