#        g/2                        E_0          
  0.00000000000000000        4.0000000000000000  
  0.10000000000000001        4.1642491510745199  
  0.20000000000000001        4.3181325771806671  
  0.29999999999999999        4.4625838667547875  
  0.40000000000000002        4.5984474075685631  
  0.50000000000000000        4.7264811861034985  
  0.59999999999999998        4.8473625787011203  
  0.69999999999999996        4.9616955875369406  
  0.80000000000000004        5.0700185059156730  
  0.90000000000000002        5.1728113997026171  
   1.0000000000000000        5.2705030713959831  
   1.5000000000000000        5.6945972477065991  
   2.0000000000000000        6.0351429127243783  
   3.0000000000000000        6.5481472380857912  
   4.0000000000000000        6.9155969606005723  
   5.0000000000000000        7.1916804964759065  
   8.0000000000000000        7.7257928079691185  
