#        g/2                        E_0         
  0.10000000000000001        2.0276818891500268 
  0.20000000000000001        2.0541742730447674 
  0.29999999999999999        2.0795292513258641 
  0.40000000000000002        2.1037979253895038 
  0.50000000000000000        2.1270301987944897 
  0.59999999999999998        2.1492746118361690 
  0.69999999999999996        2.1705782085322203 
  0.80000000000000004        2.1909864337658904 
  0.90000000000000002        2.2105430579927261 
   1.0000000000000000        2.2292901267225109 
   1.5000000000000000        2.3122308852333173 
   2.0000000000000000        2.3802430792142371 
   3.0000000000000000        2.4842450593908083 
   4.0000000000000000        2.5596823070647261 
   5.0000000000000000        2.6170204066804215 
   8.0000000000000000        2.7303762752475946 
   10.000000000000000        2.7800623545062568 
